"No.","Channel Name","Receive Frequency","Transmit Frequency","Channel Type","Transmit Power","Band Width","CTCSS/DCS Decode","CTCSS/DCS Encode","Contact","Contact Call Type","Contact TG/DMR ID","Radio ID","Busy Lock/TX Permit","Squelch Mode","Optional Signal","DTMF ID","2Tone ID","5Tone ID","PTT ID","Color Code","Slot","Scan List","Receive Group List","PTT Prohibit","Reverse","Simplex TDMA","Slot Suit","AES Digital Encryption","Digital Encryption","Call Confirmation","Talk Around(Simplex)","Work Alone","Custom CTCSS","2TONE Decode","Ranging","Through Mode","Digi APRS RX","Analog APRS PTT Mode","Digital APRS PTT Mode","APRS Report Type","Digital APRS Report Channel","Correct Frequency[Hz]","SMS Confirmation","Exclude channel from roaming","DMR MODE","DataACK Disable","R5toneBot","R5ToneEot"
"59","Hou2 Cactus","441.77500","446.77500","D-Digital","High","12.5K","Off","Off","Southern Plains","Group Call","3175","Danny","Always","Carrier","Off","1","1","1","Off","7","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"60","Hou2 SeTx EmComm","441.77500","446.77500","D-Digital","High","12.5K","Off","Off","SE Tx EmComm","Group Call","8686","Danny","Always","Carrier","Off","1","1","1","Off","7","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"61","Hou2 TAC.310","441.77500","446.77500","D-Digital","High","12.5K","Off","Off","TAC-310 USA DMRX","Group Call","310","Danny","Always","Carrier","Off","1","1","1","Off","7","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"62","Hou2 TAC.311","441.77500","446.77500","D-Digital","High","12.5K","Off","Off","TAC-311 USA DMRX","Group Call","311","Danny","Always","Carrier","Off","1","1","1","Off","7","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"63","Hou2 Tx State","441.77500","446.77500","D-Digital","High","12.5K","Off","Off","Texas","Group Call","3148","Danny","Always","Carrier","Off","1","1","1","Off","7","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"64","Hou2 W.W.","441.77500","446.77500","D-Digital","High","12.5K","Off","Off","13 WW ENG","Group Call","13","Danny","Always","Carrier","Off","1","1","1","Off","7","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"65","Houston AMSAT","145.31000","144.71000","A-Analog","High","25K","Off","167.9","World-wide","Group Call","91","Danny","Off","Carrier","Off","1","1","1","Off","0","1","None","None","Off","Off","On","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"66","Houston Red Cros","147.08000","146.48000","A-Analog","High","25K","Off","Off","World-wide","Group Call","91","Danny","Off","Carrier","Off","1","1","1","Off","0","1","None","None","Off","Off","On","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"67","Hurricane Net","433.00000","433.00000","D-Digital","Low","12.5K","Off","Off","Hurricane Net","Group Call","3199","Danny","Always","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
"68","Klein CACTUS","440.30000","445.30000","D-Digital","High","12.5K","Off","Off","Southern Plains","Group Call","3175","Danny","Always","Carrier","Off","1","1","1","Off","3","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","255","255"
